entity	label
http://dbpedia.org/resource/Aprille_Ericsson-Jackson	Scientist
http://dbpedia.org/resource/Muriel_Wheldale_Onslow	Scientist
http://dbpedia.org/resource/C.M.I.M._Matthiessen	Scientist
http://dbpedia.org/resource/Siddharth_Batra	Scientist
http://dbpedia.org/resource/Edward_Bullmore	Scientist
http://dbpedia.org/resource/John_Huizinga	Scientist
http://dbpedia.org/resource/Umut_Özkirimli	Scientist
http://dbpedia.org/resource/Uttamchand_Khimchand_Sheth	Scientist
http://dbpedia.org/resource/Hatem_Zeine	Scientist
http://dbpedia.org/resource/Ambrose_Thomas_Stanton	Scientist
http://dbpedia.org/resource/Krzysztof_Pietroszek	Scientist
http://dbpedia.org/resource/Kerstin_N._Nordstrom	Scientist
http://dbpedia.org/resource/Oh_Yong-Geun	Scientist
http://dbpedia.org/resource/Arun_Majumdar__US-scientist-stub__1	Scientist
http://dbpedia.org/resource/Aurel_Stein__Sir_Aurel_Stein__1	Scientist
http://dbpedia.org/resource/Lock_Yue_Chew	Scientist
http://dbpedia.org/resource/Robert_F._Fudali	Scientist
http://dbpedia.org/resource/Aleksandr_Chudakov	Scientist
http://dbpedia.org/resource/Bakri_Osman_Saeed	Scientist
http://dbpedia.org/resource/Basil_Balme	Scientist
http://dbpedia.org/resource/Bibudhendra_Sarkar	Scientist
http://dbpedia.org/resource/Boheti_bin_Amrani	Scientist
http://dbpedia.org/resource/Bruce_Robinson_(endocrinologist)	Scientist
http://dbpedia.org/resource/Carol_Creutz	Scientist
http://dbpedia.org/resource/Celia_Maxwell	Scientist
http://dbpedia.org/resource/Chung_Soon-yeong	Scientist
http://dbpedia.org/resource/Danielle_Carnival	Scientist
http://dbpedia.org/resource/David_Allen_(botanist)	Scientist
http://dbpedia.org/resource/Debra_Ford	Scientist
http://dbpedia.org/resource/Don_Villarejo	Scientist
http://dbpedia.org/resource/Elizabeth_L_Kerr	Scientist
http://dbpedia.org/resource/Emma_Unson_Rotor	Scientist
http://dbpedia.org/resource/Eunice_D._Kinney	Scientist
http://dbpedia.org/resource/Florian_G._Kaiser	Scientist
http://dbpedia.org/resource/Harry_Lee_Morrison	Scientist
http://dbpedia.org/resource/Ibrahim_Eltayeb	Scientist
http://dbpedia.org/resource/Iza_Coghlan	Scientist
http://dbpedia.org/resource/Jeanne_Hoff_(psychiatrist)	Scientist
http://dbpedia.org/resource/Joanna_V._Clark	Scientist
http://dbpedia.org/resource/Johann_Susmann_Galant	Scientist
http://dbpedia.org/resource/John_E._Hales_Jr.	Scientist
http://dbpedia.org/resource/Joseph_Monroe_(computer_scientist)	Scientist
http://dbpedia.org/resource/Juliette_Blevins	Scientist
http://dbpedia.org/resource/Kim_Yi_Dionne	Scientist
http://dbpedia.org/resource/Lelio_Bisciola	Scientist
http://dbpedia.org/resource/Louis_Isaac_Woolf	Scientist
http://dbpedia.org/resource/Maria_Dawson	Scientist
http://dbpedia.org/resource/Mary_Ross_Bell	Scientist
http://dbpedia.org/resource/Mary_V._Clymer	Scientist
http://dbpedia.org/resource/Michael_Gschwind	Scientist
http://dbpedia.org/resource/Min_Dong_(electrical_engineer)	Scientist
http://dbpedia.org/resource/Mário_Ursulino	Scientist
http://dbpedia.org/resource/Nacer_Chahat	Scientist
http://dbpedia.org/resource/Paul_de_Vos_(immunologist)	Scientist
http://dbpedia.org/resource/Rachid_Idrissi	Scientist
http://dbpedia.org/resource/Rade_Vukmir	Scientist
http://dbpedia.org/resource/Renzo_Rosso_(hydrologist)__Renzo_Rosso__1	Scientist
http://dbpedia.org/resource/Renée_Shellhaas	Scientist
http://dbpedia.org/resource/Richard_Lee_Bugbee	Scientist
http://dbpedia.org/resource/Robert_Arntfield	Scientist
http://dbpedia.org/resource/Sarah_Miller	Scientist
http://dbpedia.org/resource/Stephen_Knott	Scientist
http://dbpedia.org/resource/Subhendu_Guha	Scientist
http://dbpedia.org/resource/Sufian_Tayeh	Scientist
http://dbpedia.org/resource/Victor_Aladjev	Scientist
http://dbpedia.org/resource/Włodzimierz_Błasiak	Scientist
http://dbpedia.org/resource/Yanna_Krupnikov	Scientist
http://dbpedia.org/resource/Zachary_London	Scientist
http://dbpedia.org/resource/Abhishek_Shukla	Scientist
http://dbpedia.org/resource/Alexandra_Seceleanu	Scientist
http://dbpedia.org/resource/Alexei_Tsvelik	Scientist
http://dbpedia.org/resource/Alfred_Brammall	Scientist
http://dbpedia.org/resource/Alfred_Teischinger	Scientist
http://dbpedia.org/resource/Alois_M._Huger	Scientist
http://dbpedia.org/resource/Ana_Arregui	Scientist
http://dbpedia.org/resource/Anindya_Das	Scientist
http://dbpedia.org/resource/Beth_Sutton	Scientist
http://dbpedia.org/resource/Bevlee_Watford	Scientist
http://dbpedia.org/resource/Chung-Yun_Hse	Scientist
http://dbpedia.org/resource/Constantin_Zablovschi	Scientist
http://dbpedia.org/resource/E._Graham_Howe	Scientist
http://dbpedia.org/resource/Ehud_Zohary	Scientist
http://dbpedia.org/resource/Ellen_Graber	Scientist
